longrange1,latrange1,longrange2,latrange2
-44.38932059999999,-22.318931999999958,-44.33932059999999,-22.268931999999957
-44.38932059999999,-22.268931999999957,-44.33932059999999,-22.218931999999956
-44.33932059999999,-23.26893199999997,-44.289320599999996,-23.21893199999997
-44.33932059999999,-23.21893199999997,-44.289320599999996,-23.16893199999997
-44.33932059999999,-23.16893199999997,-44.289320599999996,-23.11893199999997
-44.33932059999999,-23.11893199999997,-44.289320599999996,-23.06893199999997
-44.33932059999999,-23.06893199999997,-44.289320599999996,-23.018931999999968
-44.33932059999999,-23.018931999999968,-44.289320599999996,-22.968931999999967
-44.33932059999999,-22.968931999999967,-44.289320599999996,-22.918931999999966
-44.33932059999999,-22.918931999999966,-44.289320599999996,-22.868931999999965
-44.33932059999999,-22.868931999999965,-44.289320599999996,-22.818931999999965
-44.33932059999999,-22.618931999999962,-44.289320599999996,-22.56893199999996
-44.33932059999999,-22.56893199999996,-44.289320599999996,-22.51893199999996
-44.33932059999999,-22.51893199999996,-44.289320599999996,-22.46893199999996
-44.33932059999999,-22.46893199999996,-44.289320599999996,-22.41893199999996
-44.33932059999999,-22.41893199999996,-44.289320599999996,-22.36893199999996
-44.33932059999999,-22.36893199999996,-44.289320599999996,-22.318931999999958
-44.33932059999999,-22.318931999999958,-44.289320599999996,-22.268931999999957
-44.33932059999999,-22.268931999999957,-44.289320599999996,-22.218931999999956
-44.289320599999996,-23.21893199999997,-44.2393206,-23.16893199999997
-44.289320599999996,-23.16893199999997,-44.2393206,-23.11893199999997
-44.289320599999996,-23.11893199999997,-44.2393206,-23.06893199999997
-44.289320599999996,-23.06893199999997,-44.2393206,-23.018931999999968
-44.289320599999996,-23.018931999999968,-44.2393206,-22.968931999999967
-44.289320599999996,-22.968931999999967,-44.2393206,-22.918931999999966
-44.289320599999996,-22.918931999999966,-44.2393206,-22.868931999999965
-44.289320599999996,-22.868931999999965,-44.2393206,-22.818931999999965
-44.289320599999996,-22.818931999999965,-44.2393206,-22.768931999999964
-44.289320599999996,-22.768931999999964,-44.2393206,-22.718931999999963
-44.289320599999996,-22.618931999999962,-44.2393206,-22.56893199999996
-44.289320599999996,-22.56893199999996,-44.2393206,-22.51893199999996
-44.289320599999996,-22.51893199999996,-44.2393206,-22.46893199999996
-44.289320599999996,-22.46893199999996,-44.2393206,-22.41893199999996
-44.289320599999996,-22.41893199999996,-44.2393206,-22.36893199999996
-44.289320599999996,-22.36893199999996,-44.2393206,-22.318931999999958
-44.289320599999996,-22.318931999999958,-44.2393206,-22.268931999999957
-44.289320599999996,-22.268931999999957,-44.2393206,-22.218931999999956
-44.2393206,-23.21893199999997,-44.1893206,-23.16893199999997
-44.2393206,-23.16893199999997,-44.1893206,-23.11893199999997
-44.2393206,-23.11893199999997,-44.1893206,-23.06893199999997
-44.2393206,-23.06893199999997,-44.1893206,-23.018931999999968
-44.2393206,-23.018931999999968,-44.1893206,-22.968931999999967
-44.2393206,-22.968931999999967,-44.1893206,-22.918931999999966
-44.2393206,-22.918931999999966,-44.1893206,-22.868931999999965
-44.2393206,-22.868931999999965,-44.1893206,-22.818931999999965
-44.2393206,-22.818931999999965,-44.1893206,-22.768931999999964
-44.2393206,-22.768931999999964,-44.1893206,-22.718931999999963
-44.2393206,-22.718931999999963,-44.1893206,-22.668931999999963
-44.2393206,-22.668931999999963,-44.1893206,-22.618931999999962
-44.2393206,-22.618931999999962,-44.1893206,-22.56893199999996
-44.2393206,-22.56893199999996,-44.1893206,-22.51893199999996
-44.2393206,-22.51893199999996,-44.1893206,-22.46893199999996
-44.2393206,-22.46893199999996,-44.1893206,-22.41893199999996
-44.2393206,-22.41893199999996,-44.1893206,-22.36893199999996
-44.2393206,-22.36893199999996,-44.1893206,-22.318931999999958
-44.2393206,-22.318931999999958,-44.1893206,-22.268931999999957
-44.2393206,-22.268931999999957,-44.1893206,-22.218931999999956
-44.1893206,-23.26893199999997,-44.139320600000005,-23.21893199999997
-44.1893206,-23.21893199999997,-44.139320600000005,-23.16893199999997
-44.1893206,-23.16893199999997,-44.139320600000005,-23.11893199999997
-44.1893206,-23.11893199999997,-44.139320600000005,-23.06893199999997
-44.1893206,-23.06893199999997,-44.139320600000005,-23.018931999999968
-44.1893206,-23.018931999999968,-44.139320600000005,-22.968931999999967
-44.1893206,-22.968931999999967,-44.139320600000005,-22.918931999999966
-44.1893206,-22.918931999999966,-44.139320600000005,-22.868931999999965
-44.1893206,-22.868931999999965,-44.139320600000005,-22.818931999999965
-44.1893206,-22.818931999999965,-44.139320600000005,-22.768931999999964
-44.1893206,-22.768931999999964,-44.139320600000005,-22.718931999999963
-44.1893206,-22.718931999999963,-44.139320600000005,-22.668931999999963
-44.1893206,-22.668931999999963,-44.139320600000005,-22.618931999999962
-44.1893206,-22.618931999999962,-44.139320600000005,-22.56893199999996
-44.1893206,-22.56893199999996,-44.139320600000005,-22.51893199999996
-44.1893206,-22.51893199999996,-44.139320600000005,-22.46893199999996
-44.1893206,-22.46893199999996,-44.139320600000005,-22.41893199999996
-44.1893206,-22.41893199999996,-44.139320600000005,-22.36893199999996
-44.1893206,-22.36893199999996,-44.139320600000005,-22.318931999999958
-44.1893206,-22.318931999999958,-44.139320600000005,-22.268931999999957
-44.1893206,-22.268931999999957,-44.139320600000005,-22.218931999999956
-44.1893206,-22.218931999999956,-44.139320600000005,-22.168931999999955
-44.139320600000005,-23.21893199999997,-44.08932060000001,-23.16893199999997
-44.139320600000005,-23.16893199999997,-44.08932060000001,-23.11893199999997
-44.139320600000005,-23.11893199999997,-44.08932060000001,-23.06893199999997
-44.139320600000005,-23.06893199999997,-44.08932060000001,-23.018931999999968
-44.139320600000005,-23.018931999999968,-44.08932060000001,-22.968931999999967
-44.139320600000005,-22.968931999999967,-44.08932060000001,-22.918931999999966
-44.139320600000005,-22.918931999999966,-44.08932060000001,-22.868931999999965
-44.139320600000005,-22.868931999999965,-44.08932060000001,-22.818931999999965
